point_id,OBJECTID,accidents_on_segment,point_in_segment,lat,lon,cause,fatal,speed_limit,f85_kmh,percentage_over_speedlimit,road_class,land_use,safety_score_level,objects_detected_pct,<img>,image_url
A0052,33961,8,1,15.8937395,104.6254009,cutting-in,0,46,33.0,1,trunk,URBAN,Critical,"road: 32%, vegetation: 16%, streetlight: 8%, lane marking: 6%, fence: 3%, terrain: 3%, building: 2%, utility pole: 2%, clock tower: 1%, curb: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0052.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0052.jpg
A0053,33961,8,2,15.8194719,104.6320416,speeding,0,46,33.0,1,trunk,URBAN,Critical,"road: 36%, vegetation: 9%, lane marking: 8%, streetlight: 7%, telephone pole: 2%, fence: 1%, curb: 1%, sidewalk: 1%, building: 1%, terrain: 1%, utility pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0053.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0053.jpg
A0054,21674,2,1,14.4849083,100.0664122,speeding,1,90,83.0,7,primary,URBAN,Monitor,"road: 39%, building: 9%, terrain: 5%, lane marking: 2%, telephone pole: 1%, curb: 1%, vegetation: 1%, utility pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0054.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0054.jpg
A0055,21674,2,2,14.4848161,100.0663586,speeding,0,90,83.0,7,primary,URBAN,Monitor,"road: 40%, building: 8%, streetlight: 4%, terrain: 4%, vegetation: 2%, utility pole: 2%, train: 1%, wall: 1%, curb: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0055.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0055.jpg
A0056,15617,2,1,18.1223692,100.141046,speeding,0,90,75.0,0,primary,URBAN,Monitor,"road: 36%, streetlight: 9%, building: 8%, vegetation: 6%, sidewalk: 4%, lane marking: 3%, curb: 1%, terrain: 1%, pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0056.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0056.jpg
A0057,15617,2,2,18.1120256,100.1374642,speeding,0,90,75.0,0,primary,URBAN,Monitor,"road: 29%, lane marking: 7%, vegetation: 7%, terrain: 6%, telephone pole: 5%, sidewalk: 4%, utility pole: 4%, curb: 2%, streetlight: 1%, building: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0057.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0057.jpg
A0058,35527,4,1,13.1398421,100.9858863,speeding,0,90,73.5,7,secondary,URBAN,Critical,"road: 38%, streetlight: 8%, vegetation: 6%, lane marking: 3%, fence: 3%, sidewalk: 2%, billboard: 1%, barrier: 1%, curb: 1%, building: 1%, pole: 1%, utility pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0058.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0058.jpg
A0059,35527,4,2,13.1533488,100.9868152,speeding,0,90,73.5,7,secondary,URBAN,Critical,"road: 34%, streetlight: 3%, lane marking: 3%, terrain: 2%, fence: 1%, curb: 1%, sidewalk: 1%, building: 1%, utility pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0059.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0059.jpg
A0060,53339,4,1,17.4451953,102.8793347,speeding,1,80,64.5,0,secondary,RURAL,Critical,"road: 30%, lane marking: 7%, building: 7%, sidewalk: 4%, curb: 2%, vegetation: 2%, utility pole: 2%, telephone pole: 1%, terrain: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0060.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0060.jpg
A0061,53339,4,2,17.4527634,102.920826,speeding,0,80,64.5,0,secondary,RURAL,Critical,"road: 37%, vegetation: 12%, streetlight: 10%, lane marking: 7%, fence: 1%, terrain: 1%, pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0061.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0061.jpg
A0062,34833,17,1,18.4287425,100.4816799,speeding,0,87,96.5,39,trunk,RURAL,Monitor,"road: 38%, vegetation: 19%, lane marking: 3%, streetlight: 2%, terrain: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0062.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0062.jpg
A0063,34833,17,2,18.5319737,100.6578165,speeding,0,87,96.5,39,trunk,RURAL,Monitor,"road: 35%, lane marking: 22%, vegetation: 19%, streetlight: 2%, terrain: 2%, curb: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0063.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0063.jpg
A0064,30292,3,1,14.9086786,103.7570688,speeding,0,90,94.0,23,primary,RURAL,Stable,"road: 34%, terrain: 12%, vegetation: 5%, lane marking: 3%, telephone pole: 1%, building: 1%, utility pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0064.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0064.jpg
A0065,30292,3,2,14.9026523,103.6843394,speeding,0,90,94.0,23,primary,RURAL,Stable,"road: 30%, terrain: 11%, lane marking: 8%, vegetation: 7%, telephone pole: 1%, fence: 1%, utility pole: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0065.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0065.jpg
A0066,206,2,1,18.9828115,98.9456941,speeding,0,80,91.0,50,primary,RURAL,Stable,"road: 26%, building: 15%, sidewalk: 6%, lane marking: 5%, utility pole: 5%, vegetation: 4%, curb: 3%, streetlight: 1%, barrier: 1%",https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0066.jpg,https://cdn.jsdelivr.net/gh/IskandarHan/ADB@main/acc_thumbs/A0066.jpg
